DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
19-Mar-25,117.27,120.45,115.68,117.52,"273,426,200"
18-Mar-25,118,119.02,114.54,115.43,"299,686,900"
17-Mar-25,122.74,122.89,118.03,119.53,"255,501,500"
14-Mar-25,118.61,121.88,118.15,121.67,"277,593,500"
13-Mar-25,117.03,117.76,113.79,115.58,"299,033,100"
12-Mar-25,114.12,116.76,112.88,115.74,"323,857,500"
11-Mar-25,106.99,112.24,104.77,108.76,"354,865,700"
10-Mar-25,109.9,111.85,105.46,106.98,"366,487,400"
7-Mar-25,111.25,113.48,107.56,112.69,"341,755,500"
6-Mar-25,113.53,115.35,110.22,110.57,"321,181,900"
5-Mar-25,117.58,118.28,114.51,117.3,"284,337,900"
4-Mar-25,110.65,119.31,110.11,115.99,"398,163,300"
3-Mar-25,123.51,123.7,112.28,114.06,"411,381,400"
28-Feb-25,118.02,125.09,116.4,124.92,"389,091,100"
27-Feb-25,135,135.01,120.01,120.15,"443,175,800"
26-Feb-25,129.99,133.73,128.49,131.28,"322,553,800"
25-Feb-25,129.98,130.2,124.44,126.63,"271,428,700"
24-Feb-25,136.56,138.59,130.08,130.28,"251,381,100"
21-Feb-25,140.04,141.46,134.03,134.43,"228,217,600"
20-Feb-25,140.03,140.66,136.79,140.11,"143,903,600"
19-Feb-25,139.51,141.36,137.22,139.23,"167,536,000"
18-Feb-25,141.27,143.44,137.93,139.4,"219,176,600"
14-Feb-25,136.48,139.25,135.5,138.85,"195,479,600"
13-Feb-25,131.56,136.5,131.17,135.29,"197,430,000"
12-Feb-25,130.02,132.24,129.08,131.14,"160,278,600"
11-Feb-25,132.58,134.48,131.02,132.8,"178,902,400"
10-Feb-25,130.09,135,129.96,133.57,"216,989,100"
7-Feb-25,129.22,130.37,125,129.84,"228,186,300"
6-Feb-25,127.42,128.77,125.21,128.68,"251,483,600"
5-Feb-25,121.76,125,120.76,124.83,"262,230,800"
4-Feb-25,116.96,121.2,116.7,118.65,"256,550,000"
3-Feb-25,114.75,118.57,113.01,116.66,"371,235,700"
31-Jan-25,123.78,127.85,119.19,120.07,"390,372,900"
30-Jan-25,123.1,125,118.1,124.65,"392,925,500"
29-Jan-25,126.5,126.89,120.05,123.7,"467,120,600"
28-Jan-25,121.81,129,116.25,128.99,"579,666,400"
27-Jan-25,124.8,128.4,116.7,118.42,"818,830,900"
24-Jan-25,148.37,148.97,141.88,142.62,"234,657,600"
23-Jan-25,145.05,147.23,143.72,147.22,"155,915,500"
22-Jan-25,144.66,147.79,143.67,147.07,"237,651,400"
21-Jan-25,139.16,141.83,137.09,140.83,"197,749,000"
17-Jan-25,136.69,138.5,135.46,137.71,"201,188,800"
16-Jan-25,138.64,138.75,133.49,133.57,"209,235,600"
15-Jan-25,133.65,136.45,131.29,136.24,"185,217,300"
14-Jan-25,136.05,136.38,130.05,131.76,"195,590,500"
13-Jan-25,129.99,133.49,129.51,133.23,"204,808,900"
10-Jan-25,137.45,139.92,134.22,135.91,"207,602,500"
8-Jan-25,142.58,143.95,137.56,140.11,"227,349,900"
7-Jan-25,153.03,153.13,140.01,140.14,"351,782,200"
6-Jan-25,148.59,152.16,147.82,149.43,"265,377,400"
3-Jan-25,140.01,144.9,139.73,144.47,"229,322,500"
2-Jan-25,136,138.88,134.63,138.31,"198,247,200"
31-Dec-24,138.03,138.07,133.83,134.29,"155,659,200"
30-Dec-24,134.83,140.27,134.02,137.49,"167,734,700"
27-Dec-24,138.55,139.02,134.71,137.01,"170,582,600"
26-Dec-24,139.7,140.85,137.73,139.93,"116,205,600"
24-Dec-24,140,141.9,138.65,140.22,"105,157,000"
23-Dec-24,136.28,139.79,135.12,139.67,"176,053,500"
20-Dec-24,129.81,135.28,128.22,134.7,"306,528,600"
19-Dec-24,131.76,134.03,129.55,130.68,"209,719,200"
18-Dec-24,133.86,136.7,128.28,128.91,"277,444,500"
17-Dec-24,129.09,131.59,126.86,130.39,"259,410,300"
16-Dec-24,134.18,134.4,130.42,132,"237,951,100"
13-Dec-24,138.94,139.6,132.54,134.25,"231,514,900"
12-Dec-24,137.08,138.44,135.8,137.34,"159,211,400"
11-Dec-24,137.36,140.17,135.21,139.31,"184,905,200"
10-Dec-24,139.01,141.82,133.79,135.07,"210,020,900"
9-Dec-24,138.97,139.95,137.13,138.81,"189,308,600"
6-Dec-24,144.6,145.7,141.31,142.44,"188,505,600"
5-Dec-24,145.11,146.54,143.95,145.06,"172,621,200"
4-Dec-24,142,145.79,140.29,145.14,"231,224,300"
3-Dec-24,138.26,140.54,137.95,140.26,"164,414,000"
2-Dec-24,138.83,140.45,137.82,138.63,"171,682,800"
29-Nov-24,136.78,139.35,136.05,138.25,"141,863,200"
27-Nov-24,135.01,137.22,131.8,135.34,"226,370,900"
26-Nov-24,137.7,139.3,135.67,136.92,"190,287,700"
25-Nov-24,141.99,142.05,135.82,136.02,"344,941,900"
